Id,SalePrice
1461,114927.80701898807
1462,165909.39269475554
1463,187995.71971596486
1464,193535.1127616737
1465,207440.39580451424
1466,173350.45358850603
1467,175317.22190992767
1468,161406.51644921268
1469,204326.35214401744
1470,113852.86287295025
1471,166830.31197295486
1472,97272.80776092567
1473,95877.5343321249
1474,145275.13533718075
1475,108183.64461070609
1476,380798.0134848955
1477,264357.4151926916
1478,297826.2644190474
1479,300860.500137729
1480,476690.8980185577
1481,312610.97968627687
1482,208642.24703115923
1483,175468.24940196518
1484,163360.39751317826
1485,176566.75437146096
1486,190370.71950351552
1487,325554.69602174195
1488,203794.62573856406
1489,208331.65132178616
1490,256798.9950895665
1491,202001.27063170343
1492,87916.92612386832
1493,188539.95179534363
1494,272354.9504333511
1495,281380.95132067066
1496,233280.0145827721
1497,176896.19090702006
1498,180843.25537331018
1499,168414.4215173189
1500,150289.67551895985
1501,187403.66421190978
1502,132925.92381093002
1503,356156.691603768
1504,238615.92237329128
1505,227877.4110281235
1506,192344.167413912
1507,251217.40587533664
1508,197440.48395732522
1509,154692.77532652614
1510,147722.10288359202
1511,169285.1906425152
1512,182720.7110337948
1513,151887.58911616507
1514,155795.5656821303
1515,205775.19918355977
1516,154768.05569110252
1517,189206.3064786198
1518,125767.61372365951
1519,219302.66545577324
1520,131833.93119639042
1521,132165.4277311068
1522,188866.80953049782
1523,111510.28530884563
1524,122751.64853636567
1525,113908.40381232428
1526,105509.10347270084
1527,100176.8738138642
1528,131527.6753775911
1529,156575.66651900462
1530,220605.6162559496
1531,123247.11259700014
1532,91764.29721898648
1533,165971.62379783735
1534,128116.21461372623
1535,157986.44204206043
1536,93768.18374986331
1537,39924.59928515219
1538,146492.89941694823
1539,197597.17484248697
1540,100657.84243536547
1541,132844.10454839354
1542,156606.46688353785
1543,198372.605767068
1544,76928.73087681532
1545,119073.02592490641
1546,125875.98031309043
1547,147424.11163174929
1548,147289.03920247205
1549,117748.57160248114
1550,135326.07619644862
1551,108894.41674611226
1552,150628.4846465494
1553,150562.01499699455
1554,124046.76000252116
1555,156998.72910911252
1556,66347.7314711528
1557,135154.4395254939
1558,97119.57213242626
1559,60127.92325509913
1560,117351.68202946239
1561,146041.99866367117
1562,125199.91448236682
1563,126421.33300733319
1564,166225.40949782918
1565,154351.56123064944
1566,224296.50803782255
1567,67423.51375225469
1568,206367.53349182743
1569,135374.92655317034
1570,127018.33873054106
1571,103773.69083119866
1572,149533.65169223884
1573,286048.4612638542
1574,123246.35842649543
1575,240974.7418486104
1576,246029.97628316982
1577,188372.16685906128
1578,142513.23388779027
1579,143594.8211122352
1580,193073.57481727534
1581,156830.52140720884
1582,127671.12078404598
1583,280846.05950526625
1584,219283.9491056443
1585,130654.54675709261
1586,87934.61592116606
1587,94224.14467916758
1588,155116.52943690476
1589,100761.29359348018
1590,124872.70454004532
1591,87155.5680348656
1592,126207.00422619993
1593,122117.74861617373
1594,145234.44345587774
1595,112815.3821651411
1596,231898.94000384485
1597,205761.33813860986
1598,212534.63544481306
1599,194735.65443464223
1600,171678.62549925098
1601,65432.9466547981
1602,121051.51250581275
1603,53968.665531457926
1604,284111.5809661562
1605,226496.7890951522
1606,160538.2470059355
1607,193521.28619056861
1608,202851.1798102105
1609,194376.4765768335
1610,154268.12673247015
1611,133298.513895518
1612,183567.4748897755
1613,166547.24486432364
1614,141257.0159516212
1615,95167.43643949086
1616,69863.38940205032
1617,86116.95336385466
1618,140233.41388382978
1619,132415.57004288715
1620,183099.58144470694
1621,130706.32275818606
1622,151310.06573981236
1623,266388.9373253395
1624,211635.95291238744
1625,109445.89233311797
1626,161920.36425118893
1627,187757.70644426992
1628,279395.12907588773
1629,177670.02152333438
1630,357130.334760941
1631,253012.37115851225
1632,249228.69021401394
1633,173154.25552594825
1634,184169.09569503355
1635,169667.57934356842
1636,141786.0134502652
1637,203237.20620917593
1638,188510.29618637578
1639,174945.27580890694
1640,237814.00682516006
1641,177688.34805047244
1642,254511.67187054222
1643,229481.3261925559
1644,243635.0622802045
1645,222139.8827018926
1646,147886.9251759995
1647,143474.8777506086
1648,134863.2908355861
1649,126002.29330681078
1650,108931.78993172228
1651,110892.15083577292
1652,100062.36596517166
1653,97058.62967125751
1654,144399.84286313827
1655,133292.51590227283
1656,144316.7108615258
1657,155338.5433948567
1658,147471.30522150506
1659,127659.46779790023
1660,154624.4600419926
1661,426838.9331889152
1662,382827.86375633196
1663,385337.1722227951
1664,441875.35034995404
1665,331926.2015767102
1666,309399.0809680158
1667,371828.46854383603
1668,358894.41517837474
1669,310103.7486223892
1670,354116.11861083226
1671,270482.2180851259
1672,396030.8011669602
1673,291892.7671738819
1674,250285.02393680342
1675,207116.98023498908
1676,212258.75041279566
1677,218890.946859993
1678,479239.9520617446
1679,381048.8455807257
1680,336679.8783928609
1681,274956.7546493062
1682,317256.4680972083
1683,193793.16316070687
